name,city,type,website,instagram,email
Spring Court,Paris,shoes,https://www.springcourt.com/fr/magasins,https://www.instagram.com/springcourtofficiel/,
Cedeo sanitaire chauffage plomberie,Paris,doityourself,https://www.cedeo.fr/infos-agence/paris-reuilly-cedeo-2462,,
Calzedonia,Paris,clothes,http://www.calzedonia.it,https://www.instagram.com/calzedonia/,
J. Mossis,Paris,clothes,https://www.jmossis.com/,https://www.instagram.com/j.mossis/,
Sapiens,Paris,clothes,http://www.sapiens-homme.com/,,
Mille Bijoux,Paris,jewelry,https://www.millebijouxparis.com/,,
Miss Sugar Cane,Paris,jewelry,http://www.misssugarcane.com/,https://instagram.com/misssugarcaneparis,
The North Face,Paris,clothes,https://www.northface.fr,,
Poppy,Paris,clothes,https://fr-fr.facebook.com/poppystore.paris,,
Leroy Merlin,Paris,doityourself,https://www.leroymerlin.fr/v3/p/magasins/daumesnil-l1401112024,,
Cherche Midi,Paris,doityourself,https://cherchemidicouleurs.com,,
RoyalCheese,Paris,shoes,https://www.royalcheese.com,https://www.instagram.com/royalcheeseparis/,
Maje,Paris,clothes,https://fr.maje.com,https://www.instagram.com/majeparis/,
Zadig & Voltaire,Paris,clothes,https://storelocator.zadig-et-voltaire.com,,
commepiedsnus.com,Paris,shoes,https://commepiedsnus.com/,,
Ikks,Paris,clothes,https://stores.ikks.com/fr_fr/boutique/paris/ikks-men-paris-rosiers/536c8f21e0bbafaa06e12a891a3ac648,https://instagram.com/ikksofficial,
Ikks,Paris,clothes,https://stores.ikks.com/fr_fr/boutique/paris/ikks-women-paris-rosiers/536c8f21e0bbafaa06e12a891a3a5d1f,,
Espace Topper,Paris,furniture,https://www.topper.fr/,https://www.instagram.com/espacetopperofficiel/,
What For,Paris,shoes,https://whatforfashion.eu/fr/,,
Bocage,Paris,shoes,https://www.bocage.fr/boutique/paris/bocage-paris-haussmann-cv-m-01137,https://www.instagram.com/bocage_officiel/,
Ikks,Paris,clothes,https://www.ikks.com,https://instagram.com/ikksofficial,
Ikks Junior,Paris,clothes,https://stores.ikks.com/fr_fr/boutique/paris/ikks-junior-paris-tronchet/183ce14ddd89637a80f5ec667f8feced,https://instagram.com/ikksofficial,
Ikks,Paris,clothes,https://stores.ikks.com/fr_fr/boutique/paris/ikks-women-men-paris-bercy-village/,https://instagram.com/ikksofficial,
